VOO: Vanguard S&P 500 ETF
Inception Date: 2010-09-09
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	159939700
Shares Outstanding: 523706000
Expense Ratio: 0.03%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VOO


Holding,Symbol,Weighting
PVH Corp,PVH,0.0154%
Noble Energy Inc,NBL,0.015%
Devon Energy Corp,DVN,0.0133%
Apache Corp,APA,0.013%
National Oilwell Varco Inc,NOV,0.0129%
Flowserve Corp,FLS,0.0127%
Discovery Inc,DISCA,0.0125%
Gap Inc,GPS,0.0125%
Unum Group,UNM,0.0122%
SL Green Realty Corp,SLG,0.0122%
Marathon Oil Corp,MRO,0.0119%
Xerox Holdings Corp,XRX,0.0118%
Ralph Lauren Corp,RL,0.0115%
HollyFrontier Corp,HFC,0.0108%
TechnipFMC PLC,FTI,0.0094%
Under Armour Inc,UAA,0.0075%
Under Armour Inc,UA,0.0069%
