,Holding,Symbol,Weighting,Fund
5055,JBG SMITH Properties,JBGS,0.0077%,VTI
5056,Kite Realty Group Trust,KRG,0.0077%,VTI
5057,Compass Minerals International Inc,CMP,0.0077%,VTI
5058,Scientific Games Corp,SGMS,0.0077%,VTI
5059,Super Micro Computer Inc,SMCI,0.0076%,VTI
5060,Navient Corp,NAVI,0.0076%,VTI
5061,Callaway Golf Co,ELY,0.0076%,VTI
5062,Medifast Inc,MED,0.0076%,VTI
5063,Allakos Inc,ALLK,0.0076%,VTI
5064,South State Corp,SSB,0.0076%,VTI
5065,Qualys Inc,QLYS,0.0076%,VTI
5066,Forward Air Corp,FWRD,0.0075%,VTI
5067,PPD Inc,PPD,0.0075%,VTI
5068,Acadia Healthcare Company Inc,ACHC,0.0075%,VTI
5069,Evercore Inc,EVR,0.0075%,VTI
5070,Amkor Technology Inc,AMKR,0.0075%,VTI
5071,First Hawaiian Inc,FHB,0.0074%,VTI
5072,Avanos Medical Inc,AVNS,0.0074%,VTI
5073,Cytokinetics Inc,CYTK,0.0074%,VTI
5074,WSFS Financial Corp,WSFS,0.0074%,VTI
5075,Wintrust Financial Corp,WTFC,0.0074%,VTI
5076,LTC Properties Inc,LTC,0.0074%,VTI
5077,Telephone and Data Systems Inc,TDS,0.0074%,VTI
5078,Tripadvisor Inc,TRIP,0.0074%,VTI
5079,Walker & Dunlop Inc,WD,0.0073%,VTI
5080,Uniti Group Inc,UNIT,0.0073%,VTI
5081,Alarm.com Holdings Inc,ALRM,0.0073%,VTI
5082,SVMK Inc,SVMK,0.0073%,VTI
5083,Mueller Industries Inc,MLI,0.0073%,VTI
5084,CSG Systems International Inc,CSGS,0.0073%,VTI
5085,Deciphera Pharmaceuticals Inc,DCPH,0.0073%,VTI
5086,Moelis & Co,MC,0.0073%,VTI
5087,QTS Realty Trust Inc,QTS,0.0072%,VTI
5088,Enerpac Tool Group Corp,EPAC,0.0072%,VTI
5089,WPX Energy Inc,WPX,0.0072%,VTI
5090,Air Transport Services Group Inc,ATSG,0.0072%,VTI
5091,American Eagle Outfitters Inc,AEO,0.0072%,VTI
5092,Apple Hospitality REIT Inc,APLE,0.0072%,VTI
5093,LendingTree Inc,TREE,0.0072%,VTI
5094,Ambac Financial Group Inc,AMBC,0.0072%,VTI
5095,Strategic Education Inc,STRA,0.0072%,VTI
5096,Olin Corp,OLN,0.0072%,VTI
5097,New Fortress Energy Inc,NFE,0.0072%,VTI
5098,Dycom Industries Inc,DY,0.0071%,VTI
5099,Veritex Holdings Inc,VBTX,0.0071%,VTI
5100,Hilltop Holdings Inc,HTH,0.0071%,VTI
5101,Magellan Health Inc,MGLN,0.0071%,VTI
5102,Inovalon Holdings Inc,INOV,0.0071%,VTI
5103,Ovintiv Inc,OVV,0.0071%,VTI
5104,Essential Properties Realty Trust Inc,EPRT,0.007%,VTI
5105,Ingevity Corp,NGVT,0.007%,VTI
5106,Alcoa Corp,AA,0.007%,VTI
5107,Brinker International Inc,EAT,0.007%,VTI
5108,Raven Industries Inc,RAVN,0.007%,VTI
5109,Jack in the Box Inc,JACK,0.007%,VTI
5110,Kirby Corp,KEX,0.007%,VTI
5111,Liberty Media Corp,BATRK,0.0069%,VTI
5112,OUTFRONT Media Inc,OUT,0.0069%,VTI
5113,EchoStar Corp,SATS,0.0069%,VTI
5114,Simpson Manufacturing Co Inc,SSD,0.0069%,VTI
5115,Piper Sandler Companies,PIPR,0.0069%,VTI
5116,Masonite International Corp,DOOR,0.0069%,VTI
5117,Equitrans Midstream Corp,ETRN,0.0068%,VTI
5118,Heron Therapeutics Inc,HRTX,0.0068%,VTI
5119,Rent-A-Center Inc,RCII,0.0068%,VTI
5120,Ligand Pharmaceuticals Inc,LGND,0.0068%,VTI
5121,Columbia Property Trust Inc,CXP,0.0068%,VTI
5122,Commvault Systems Inc,CVLT,0.0068%,VTI
5123,Visteon Corp,VC,0.0068%,VTI
5124,Hillenbrand Inc,HI,0.0067%,VTI
5125,CareTrust REIT Inc,CTRE,0.0067%,VTI
5126,Hamilton Lane Inc,HLNE,0.0067%,VTI
5127,Summit Materials Inc,SUM,0.0067%,VTI
5128,OneMain Holdings Inc,OMF,0.0067%,VTI
5129,Genworth Financial Inc,GNW,0.0066%,VTI
5130,Brinks Co,BCO,0.0066%,VTI
5131,Veracyte Inc,VCYT,0.0066%,VTI
5132,Healthcare Services Group Inc,HCSG,0.0066%,VTI
5133,Park Hotels & Resorts Inc,PK,0.0066%,VTI
5134,Sterling Bancorp,STL,0.0066%,VTI
5135,Inovio Pharmaceuticals Inc,INO,0.0065%,VTI
5136,Edgewell Personal Care Co,EPC,0.0065%,VTI
5137,Sunstone Hotel Investors Inc,SHO,0.0065%,VTI
5138,Cooper Tire & Rubber Co,CTB,0.0064%,VTI
5139,Retail Properties of America Inc,RPAI,0.0064%,VTI
5140,Core-Mark Holding Company Inc,CORE,0.0064%,VTI
5141,SAGE Therapeutics Inc,SAGE,0.0064%,VTI
5142,Rogers Corp,ROG,0.0064%,VTI
5143,MEDNAX Inc,MD,0.0064%,VTI
5144,Mercury General Corp,MCY,0.0064%,VTI
5145,Cavco Industries Inc,CVCO,0.0064%,VTI
5146,CNX Resources Corp,CNX,0.0063%,VTI
5147,Innospec Inc,IOSP,0.0063%,VTI
5148,Glaukos Corp,GKOS,0.0063%,VTI
5149,SkyWest Inc,SKYW,0.0063%,VTI
5150,CommScope Holding Company Inc,COMM,0.0063%,VTI
5151,TriMas Corp,TRS,0.0063%,VTI
5152,Spirit AeroSystems Holdings Inc,SPR,0.0063%,VTI
5153,Kratos Defense and Security Solutions Inc,KTOS,0.0063%,VTI
5154,O-I Glass Inc,OI,0.0063%,VTI
5155,Laureate Education Inc,LAUR,0.0062%,VTI
5156,AeroVironment Inc,AVAV,0.0062%,VTI
5157,Synaptics Inc,SYNA,0.0062%,VTI
5158,Cal-Maine Foods Inc,CALM,0.0062%,VTI
5159,SLM Corp,SLM,0.0062%,VTI
5160,World Wrestling Entertainment Inc,WWE,0.0062%,VTI
5161,Cantel Medical Corp,CMD,0.0061%,VTI
5162,Macquarie Infrastructure Corp,MIC,0.0061%,VTI
5163,KAR Auction Services Inc,KAR,0.0061%,VTI
5164,Wright Medical Group NV,WMGI,0.0061%,VTI
5165,Murphy Usa Inc,MUSA,0.0061%,VTI
5166,EnPro Industries Inc,NPO,0.0061%,VTI
5167,Helios Technologies Inc,HLIO,0.0061%,VTI
5168,Sabre Corp,SABR,0.006%,VTI
5169,8x8 Inc,EGHT,0.006%,VTI
5170,Zions Bancorporation NA,ZION,0.006%,VTI
5171,Sandy Spring Bancorp Inc,SASR,0.006%,VTI
5172,iRobot Corp,IRBT,0.006%,VTI
5173,OceanFirst Financial Corp,OCFC,0.006%,VTI
5174,Ryman Hospitality Properties Inc,RHP,0.006%,VTI
5175,AZZ Inc,AZZ,0.006%,VTI
5176,APi Group Corp,APG,0.006%,VTI
5177,Axsome Therapeutics Inc,AXSM,0.006%,VTI
5178,American Woodmark Corp,AMWD,0.006%,VTI
5179,Simply Good Foods Co,SMPL,0.0059%,VTI
5180,eHealth Inc,EHTH,0.0059%,VTI
5181,Steven Madden Ltd,SHOO,0.0059%,VTI
5182,GCP Applied Technologies Inc,GCP,0.0059%,VTI
5183,Provident Financial Services Inc,PFS,0.0059%,VTI
5184,ICF International Inc,ICFI,0.0059%,VTI
5185,Dana Inc,DAN,0.0059%,VTI
5186,Arcus Biosciences Inc,RCUS,0.0059%,VTI
5187,Altair Engineering Inc,ALTR,0.0059%,VTI
5188,Getty Realty Corp,GTY,0.0059%,VTI
5189,Albany International Corp,AIN,0.0059%,VTI
5190,Rocket Companies Inc,RKT,0.0058%,VTI
5191,Texas Capital Bancshares Inc,TCBI,0.0058%,VTI
5192,Onto Innovation Inc,ONTO,0.0058%,VTI
5193,RLJ Lodging Trust,RLJ,0.0058%,VTI
5194,Cardlytics Inc,CDLX,0.0058%,VTI
5195,Hilton Grand Vacations Inc,HGV,0.0058%,VTI
5196,Shake Shack Inc,SHAK,0.0058%,VTI
5197,Alliance Data Systems Corp,ADS,0.0058%,VTI
5198,Allscripts Healthcare Solutions Inc,MDRX,0.0058%,VTI
5199,Axos Financial Inc,AX,0.0058%,VTI
5200,Knowles Corp,KN,0.0057%,VTI
5201,Bed Bath & Beyond Inc,BBBY,0.0057%,VTI
5202,Employers Holdings Inc,EIG,0.0057%,VTI
5203,1Life Healthcare Inc,ONEM,0.0057%,VTI
5204,Cimpress PLC,CMPR,0.0057%,VTI
5205,Macy's Inc,M,0.0057%,VTI
5206,CarGurus Inc,CARG,0.0057%,VTI
5207,Sleep Number Corp,SNBR,0.0057%,VTI
5208,MACOM Technology Solutions Holdings Inc,MTSI,0.0057%,VTI
5209,Coca-Cola Consolidated Inc,COKE,0.0057%,VTI
5210,Pebblebrook Hotel Trust,PEB,0.0056%,VTI
5211,Pacific Premier Bancorp Inc,PPBI,0.0056%,VTI
5212,Urban Outfitters Inc,URBN,0.0056%,VTI
5213,Yext Inc,YEXT,0.0056%,VTI
5214,United Community Banks Inc,UCBI,0.0056%,VTI
5215,Goodyear Tire & Rubber Co,GT,0.0056%,VTI
5216,Geo Group Inc,GEO,0.0056%,VTI
5217,CEVA Inc,CEVA,0.0056%,VTI
5218,Adtalem Global Education Inc,ATGE,0.0056%,VTI
5219,Yelp Inc,YELP,0.0056%,VTI
5220,BankUnited Inc,BKU,0.0056%,VTI
5221,CNO Financial Group Inc,CNO,0.0055%,VTI
5222,Addus Homecare Corp,ADUS,0.0055%,VTI
5223,Revance Therapeutics Inc,RVNC,0.0055%,VTI
5224,Gray Television Inc,GTN,0.0055%,VTI
5225,Southwestern Energy Co,SWN,0.0055%,VTI
5226,CareDx Inc,CDNA,0.0055%,VTI
5227,Helmerich and Payne Inc,HP,0.0054%,VTI
5228,Universal Corp,UVV,0.0054%,VTI
5229,Bloomin' Brands Inc,BLMN,0.0054%,VTI
5230,K12 Inc,LRN,0.0054%,VTI
5231,Antero Midstream Corp,AM,0.0054%,VTI
5232,Urban Edge Properties,UE,0.0054%,VTI
5233,Brookline Bancorp Inc,BRKL,0.0053%,VTI
5234,Cubic Corp,CUB,0.0053%,VTI
5235,Coeur Mining Inc,CDE,0.0053%,VTI
5236,Argo Group International Holdings Ltd,ARGO,0.0053%,VTI
5237,Netscout Systems Inc,NTCT,0.0053%,VTI
5238,World Fuel Services Corp,INT,0.0053%,VTI
5239,Site Centers Corp,SITC,0.0053%,VTI
5240,Red Rock Resorts Inc,RRR,0.0053%,VTI
5241,ZoomInfo Technologies Inc,ZI,0.0052%,VTI
5242,Colony Capital Inc,CLNY,0.0052%,VTI
5243,Monro Inc,MNRO,0.0052%,VTI
5244,Six Flags Entertainment Corp,SIX,0.0052%,VTI
5245,Sorrento Therapeutics Inc,SRNE,0.0052%,VTI
5246,Dicerna Pharmaceuticals Inc,DRNA,0.0052%,VTI
5247,Cardiovascular Systems Inc,CSII,0.0052%,VTI
5248,Deluxe Corp,DLX,0.0052%,VTI
5249,Maxar Technologies Inc,MAXR,0.0052%,VTI
5250,Ferro Corp,FOE,0.0052%,VTI
5251,Kaman Corp,KAMN,0.0051%,VTI
5252,Cerus Corp,CERS,0.0051%,VTI
5253,Alkermes Plc,ALKS,0.0051%,VTI
5254,Cleveland-Cliffs Inc,CLF,0.0051%,VTI
5255,CIT Group Inc,CIT,0.0051%,VTI
5256,Grocery Outlet Holding Corp,GO,0.0051%,VTI
5257,Resideo Technologies Inc,REZI,0.0051%,VTI
5258,Mack-Cali Realty Corp,CLI,0.0051%,VTI
5259,Dril-Quip Inc,DRQ,0.0051%,VTI
5260,Retrophin Inc,RTRX,0.005%,VTI
5261,Covanta Holding Corp,CVA,0.005%,VTI
5262,Pluralsight Inc,PS,0.005%,VTI
5263,Hyatt Hotels Corp,H,0.005%,VTI
5264,Sinclair Broadcast Group Inc,SBGI,0.0049%,VTI
5265,Avis Budget Group Inc,CAR,0.0049%,VTI
5266,Materion Corp,MTRN,0.0049%,VTI
5267,Kodiak Sciences Inc,KOD,0.0049%,VTI
5268,James River Group Holdings Ltd,JRVR,0.0049%,VTI
5269,Esperion Therapeutics Inc,ESPR,0.0049%,VTI
5270,Supernus Pharmaceuticals Inc,SUPN,0.0049%,VTI
5271,Verra Mobility Corp,VRRM,0.0049%,VTI
5272,Weingarten Realty Investors,WRI,0.0048%,VTI
5273,Belden Inc,BDC,0.0048%,VTI
5274,Stitch Fix Inc,SFIX,0.0048%,VTI
5275,Rambus Inc,RMBS,0.0048%,VTI
5276,Affiliated Managers Group Inc,AMG,0.0048%,VTI
5277,Fluor Corp,FLR,0.0047%,VTI
5278,Diamondrock Hospitality Co,DRH,0.0047%,VTI
5279,Virgin Galactic Holdings Inc,SPCE,0.0047%,VTI
5280,Nordstrom Inc,JWN,0.0046%,VTI
5281,Skyline Champion Corp,SKY,0.0046%,VTI
5282,Terex Corp,TEX,0.0046%,VTI
5283,Acadia Realty Trust,AKR,0.0046%,VTI
5284,Coherus BioSciences Inc,CHRS,0.0046%,VTI
5285,Magnolia Oil & Gas Corp,MGY,0.0046%,VTI
5286,White Mountains Insurance Group Ltd,WTM,0.0046%,VTI
5287,Service Properties Trust,SVC,0.0046%,VTI
5288,Editas Medicine Inc,EDIT,0.0045%,VTI
5289,Welbilt Inc,WBT,0.0045%,VTI
5290,Sensient Technologies Corp,SXT,0.0045%,VTI
5291,Stepan Co,SCL,0.0045%,VTI
5292,Kontoor Brands Inc,KTB,0.0045%,VTI
5293,Office Properties Income Trust,OPI,0.0045%,VTI
5294,Huron Consulting Group Inc,HURN,0.0045%,VTI
5295,AtriCure Inc,ATRC,0.0045%,VTI
5296,Xenia Hotels & Resorts Inc,XHR,0.0045%,VTI
5297,Corecivic Inc,CXW,0.0044%,VTI
5298,NMI Holdings Inc,NMIH,0.0044%,VTI
5299,Karyopharm Therapeutics Inc,KPTI,0.0044%,VTI
5300,Fresh Del Monte Produce Inc,FDP,0.0044%,VTI
5301,Robert Half International Inc,RHI,0.0044%,VTI
5302,First Bancorp,FBP,0.0044%,VTI
5303,AMC Networks Inc,AMCX,0.0044%,VTI
5304,Cheesecake Factory Inc,CAKE,0.0043%,VTI
5305,Regenxbio Inc,RGNX,0.0043%,VTI
5306,Theravance Biopharma Inc,TBPH,0.0043%,VTI
5307,Sally Beauty Holdings Inc,SBH,0.0043%,VTI
5308,Atkore International Group Inc,ATKR,0.0043%,VTI
5309,Cactus Inc,WHD,0.0043%,VTI
5310,Tabula Rasa HealthCare Inc,TRHC,0.0043%,VTI
5311,Cinemark Holdings Inc,CNK,0.0043%,VTI
5312,Cadence Bancorp,CADE,0.0043%,VTI
5313,Alexander & Baldwin Inc (Hawaii),ALEX,0.0043%,VTI
5314,NIC Inc,EGOV,0.0042%,VTI
5315,Boise Cascade Co,BCC,0.0042%,VTI
5316,United States Steel Corp,X,0.0042%,VTI
5317,ProAssurance Corp,PRA,0.0042%,VTI
5318,Pros Holdings Inc,PRO,0.0042%,VTI
5319,2U Inc,TWOU,0.0042%,VTI
5320,Warner Music Group Corp,WMG,0.0042%,VTI
5321,Adverum Biotechnologies Inc,ADVM,0.0041%,VTI
5322,Harsco Corp,HSC,0.0041%,VTI
5323,Winnebago Industries Inc,WGO,0.0041%,VTI
5324,"Y-mAbs Therapeutics, Inc",YMAB,0.0041%,VTI
5325,SeaWorld Entertainment Inc,SEAS,0.0041%,VTI
5326,Spirit Airlines Inc,SAVE,0.0041%,VTI
5327,Cushman & Wakefield PLC,CWK,0.004%,VTI
5328,Allegheny Technologies Inc,ATI,0.004%,VTI
5329,Perdoceo Education Corp,PRDO,0.004%,VTI
5330,FirstCash Inc,FCFS,0.004%,VTI
5331,Inter Parfums Inc,IPAR,0.0039%,VTI
5332,BridgeBio Pharma Inc,BBIO,0.0039%,VTI
5333,Athenex Inc,ATNX,0.0039%,VTI
5334,Infinera Corp,INFN,0.0038%,VTI
5335,US Ecology Inc,ECOL,0.0038%,VTI
5336,Granite Construction Inc,GVA,0.0038%,VTI
5337,Epizyme Inc,EPZM,0.0038%,VTI
5338,ODP Corp,ODP,0.0037%,VTI
5339,American Assets Trust Inc,AAT,0.0037%,VTI
5340,AAR Corp,AIR,0.0037%,VTI
5341,Atrion Corp,ATRI,0.0037%,VTI
5342,Carpenter Technology Corp,CRS,0.0036%,VTI
5343,BGC Partners Inc,BGCP,0.0036%,VTI
5344,Power Integrations Inc,POWI,0.0036%,VTI
5345,Summit Hotel Properties Inc,INN,0.0036%,VTI
5346,Diversified Healthcare Trust,DHC,0.0035%,VTI
5347,American Finance Trust Inc,AFIN,0.0035%,VTI
5348,United Fire Group Inc,UFCS,0.0035%,VTI
5349,Macerich Co,MAC,0.0035%,VTI
5350,Myriad Genetics Inc,MYGN,0.0034%,VTI
5351,Pilgrims Pride Corp,PPC,0.0034%,VTI
5352,Great Western Bancorp Inc,GWB,0.0034%,VTI
5353,Prestige Consumer Healthcare Inc,PBH,0.0033%,VTI
5354,Digital Turbine Inc,APPS,0.0033%,VTI
5355,Berkshire Hills Bancorp Inc,BHLB,0.0033%,VTI
5356,PDC Energy Inc,PDCE,0.0031%,VTI
5357,Continental Resources Inc,CLR,0.0031%,VTI
5358,WW International Inc,WW,0.003%,VTI
5359,Delek US Holdings Inc,DK,0.003%,VTI
5360,Vir Biotechnology Inc,VIR,0.0029%,VTI
5361,Arvinas Inc,ARVN,0.0029%,VTI
5362,ChampionX Corp,CHX,0.0029%,VTI
5363,OPKO Health Inc,OPK,0.0027%,VTI
5364,NanoString Technologies Inc,NSTG,0.0027%,VTI
5365,Karuna Therapeutics Inc,KRTX,0.0023%,VTI
5366,B&G Foods Inc,BGS,0.0021%,VTI
5367,Zogenix Inc,ZGNX,0.002%,VTI
5368,Rhythm Pharmaceuticals Inc,RYTM,0.0018%,VTI
5369,Cerence Inc,CRNC,0.0018%,VTI
5370,Big Lots Inc,BIG,0.0014%,VTI
5371,Berkshire Hathaway Inc,BRK.B,3.2497%,VTV
5372,Johnson & Johnson,JNJ,3.1112%,VTV
5373,Procter & Gamble Co,PG,2.7449%,VTV
5374,JPMorgan Chase & Co,JPM,2.3375%,VTV
5375,UnitedHealth Group Inc,UNH,2.3249%,VTV
5376,Verizon Communications Inc,VZ,1.9714%,VTV
5377,Walt Disney Co,DIS,1.8203%,VTV
5378,Intel Corp,INTC,1.751%,VTV
5379,Comcast Corp,CMCSA,1.6926%,VTV
5380,Merck & Co Inc,MRK,1.6663%,VTV
5381,AT&T Inc,T,1.6214%,VTV
5382,Pfizer Inc,PFE,1.6156%,VTV
5383,Walmart Inc,WMT,1.5619%,VTV
5384,PepsiCo Inc,PEP,1.525%,VTV
5385,Coca-Cola Co,KO,1.5203%,VTV
5386,Abbott Laboratories,ABT,1.4985%,VTV
5387,Bank of America Corp,BAC,1.4903%,VTV
5388,Abbvie Inc,ABBV,1.2345%,VTV
5389,Cisco Systems Inc,CSCO,1.1928%,VTV
5390,Amgen Inc,AMGN,1.1695%,VTV
5391,Exxon Mobil Corp,XOM,1.1659%,VTV
5392,Nextera Energy Inc,NEE,1.1149%,VTV
5393,Medtronic PLC,MDT,1.1101%,VTV
5394,Chevron Corp,CVX,1.0798%,VTV
5395,Qualcomm Inc,QCOM,1.0649%,VTV
5396,Eli Lilly and Co,LLY,1.0107%,VTV
5397,Oracle Corp,ORCL,0.9528%,VTV
5398,Philip Morris International Inc,PM,0.9299%,VTV
5399,Honeywell International Inc,HON,0.9273%,VTV
5400,International Business Machines Corp,IBM,0.8638%,VTV
5401,3M Co,MMM,0.7404%,VTV
5402,Wells Fargo & Co,WFC,0.7319%,VTV
5403,Citigroup Inc,C,0.7108%,VTV
5404,Raytheon Technologies Corp,RTX,0.7071%,VTV
5405,Mondelez International Inc,MDLZ,0.6476%,VTV
5406,Caterpillar Inc,CAT,0.6431%,VTV
5407,BlackRock Inc,BLK,0.6426%,VTV
5408,Target Corp,TGT,0.6301%,VTV
5409,Gilead Sciences Inc,GILD,0.6257%,VTV
5410,CVS Health Corp,CVS,0.6064%,VTV
5411,Altria Group Inc,MO,0.5731%,VTV
5412,Goldman Sachs Group Inc,GS,0.547%,VTV
5413,Bristol-Myers Squibb Co,BMY,0.5434%,VTV
5414,Danaher Corp,DHR,0.5377%,VTV
5415,Dominion Energy Inc,D,0.5262%,VTV
5416,Air Products and Chemicals Inc,APD,0.5219%,VTV
5417,Anthem Inc,ANTM,0.5215%,VTV
5418,Deere & Co,DE,0.5015%,VTV
5419,Duke Energy Corp,DUK,0.4868%,VTV
5420,Cigna Corp,CI,0.4821%,VTV
5421,United Parcel Service Inc,UPS,0.4814%,VTV
5422,CME Group Inc,CME,0.481%,VTV
5423,FedEx Corp,FDX,0.4795%,VTV
5424,CSX Corp,CSX,0.4763%,VTV
5425,American Express Co,AXP,0.4755%,VTV
5426,Southern Co,SO,0.4561%,VTV
5427,Morgan Stanley,MS,0.4486%,VTV
5428,Progressive Corp,PGR,0.4434%,VTV
5429,Norfolk Southern Corp,NSC,0.4416%,VTV
5430,Illinois Tool Works Inc,ITW,0.4407%,VTV
5431,Humana Inc,HUM,0.434%,VTV
5432,General Electric Co,GE,0.4307%,VTV
5433,Newmont Corporation,NEM,0.4047%,VTV
5434,Truist Financial Corp,TFC,0.4015%,VTV
5435,Kimberly-Clark Corp,KMB,0.4011%,VTV
5436,Northrop Grumman Corp,NOC,0.3893%,VTV
5437,Waste Management Inc,WM,0.3853%,VTV
5438,U.S. Bancorp,USB,0.3843%,VTV
5439,PNC Financial Services Group Inc,PNC,0.3633%,VTV
5440,Biogen Inc,BIIB,0.3597%,VTV
5441,Chubb Ltd,CB,0.3531%,VTV
5442,Charles Schwab Corp,SCHW,0.3343%,VTV
5443,Dupont De Nemours Inc,DD,0.326%,VTV
5444,Eaton Corporation PLC,ETN,0.3242%,VTV
5445,American Electric Power Company Inc,AEP,0.322%,VTV
5446,Emerson Electric Co,EMR,0.3119%,VTV
5447,Cognizant Technology Solutions Corp,CTSH,0.301%,VTV
5448,General Motors Co,GM,0.2974%,VTV
5449,Prologis Inc,PLD,0.2961%,VTV
5450,General Mills Inc,GIS,0.2935%,VTV
5451,Xcel Energy Inc,XEL,0.2889%,VTV
5452,eBay Inc,EBAY,0.2805%,VTV
5453,ConocoPhillips,COP,0.2795%,VTV
5454,Dow Inc,DOW,0.2769%,VTV
5455,Exelon Corp,EXC,0.2768%,VTV
5456,General Dynamics Corp,GD,0.2728%,VTV
5457,Sempra Energy,SRE,0.2691%,VTV
5458,HCA Healthcare Inc,HCA,0.2598%,VTV
5459,TE Connectivity Ltd,TEL,0.2596%,VTV
5460,Capital One Financial Corp,COF,0.2584%,VTV
5461,Cummins Inc,CMI,0.2548%,VTV
5462,T-Mobile US Inc,TMUS,0.2542%,VTV
5463,WEC Energy Group Inc,WEC,0.2463%,VTV
5464,Johnson Controls International PLC,JCI,0.2451%,VTV
5465,Paccar Inc,PCAR,0.2395%,VTV
5466,Constellation Brands Inc,STZ,0.2389%,VTV
5467,Sysco Corp,SYY,0.2385%,VTV
5468,Allstate Corp,ALL,0.2345%,VTV
5469,Trane Technologies PLC,TT,0.234%,VTV
5470,Marsh & McLennan Companies Inc,MMC,0.2334%,VTV
5471,PPG Industries Inc,PPG,0.2276%,VTV
5472,Eversource Energy,ES,0.2275%,VTV
5473,Public Service Enterprise Group Inc,PEG,0.2221%,VTV
5474,Zimmer Biomet Holdings Inc,ZBH,0.2215%,VTV
5475,T. Rowe Price Group Inc,TROW,0.2215%,VTV
5476,Travelers Companies Inc,TRV,0.2198%,VTV
5477,HP Inc,HPQ,0.2177%,VTV
5478,Bank of New York Mellon Corp,BK,0.2171%,VTV
5479,Willis Towers Watson PLC,WLTW,0.2169%,VTV
5480,Otis Worldwide Corp,OTIS,0.2168%,VTV
5481,Carrier Global Corp,CARR,0.2119%,VTV
5482,American Water Works Company Inc,AWK,0.2108%,VTV
5483,Parker-Hannifin Corp,PH,0.2107%,VTV
5484,Walgreens Boots Alliance Inc,WBA,0.209%,VTV
5485,Consolidated Edison Inc,ED,0.208%,VTV
5486,Ford Motor Co,F,0.2074%,VTV
5487,Archer-Daniels-Midland Co,ADM,0.2059%,VTV
5488,D.R. Horton Inc,DHI,0.2058%,VTV
5489,Stanley Black & Decker Inc,SWK,0.2057%,VTV
5490,Best Buy Co Inc,BBY,0.204%,VTV
5491,MetLife Inc,MET,0.2016%,VTV
5492,Kroger Co,KR,0.2008%,VTV
5493,Prudential Financial Inc,PRU,0.1997%,VTV
5494,Aptiv PLC,APTV,0.1987%,VTV
5495,Williams Companies Inc,WMB,0.1979%,VTV
5496,Fortive Corp,FTV,0.1971%,VTV
5497,Corning Inc,GLW,0.1962%,VTV
5498,Aflac Inc,AFL,0.1961%,VTV
5499,Kinder Morgan Inc,KMI,0.1927%,VTV
5500,Mckesson Corp,MCK,0.1924%,VTV
5501,American International Group Inc,AIG,0.1886%,VTV
5502,Marriott International Inc,MAR,0.1835%,VTV
5503,Phillips 66,PSX,0.1834%,VTV
5504,Welltower Inc,WELL,0.1831%,VTV
5505,Lennar Corp,LEN,0.1829%,VTV
5506,Southwest Airlines Co,LUV,0.1786%,VTV
5507,Freeport-McMoRan Inc,FCX,0.1786%,VTV
5508,DTE Energy Co,DTE,0.1767%,VTV
5509,VF Corp,VFC,0.1748%,VTV
5510,Schlumberger NV,SLB,0.1741%,VTV
5511,Corteva Inc,CTVA,0.1722%,VTV
5512,Weyerhaeuser Co,WY,0.1679%,VTV
5513,PPL Corp,PPL,0.166%,VTV
5514,Liberty Broadband Corp,LBRDK,0.1657%,VTV
5515,Avalonbay Communities Inc,AVB,0.1652%,VTV
5516,State Street Corp,STT,0.1618%,VTV
5517,Baxter International Inc,BAX,0.1618%,VTV
5518,Kraft Heinz Co,KHC,0.1599%,VTV
5519,Simon Property Group Inc,SPG,0.1581%,VTV
5520,Delta Air Lines Inc,DAL,0.1572%,VTV
5521,Republic Services Inc,RSG,0.1559%,VTV
5522,Edison International,EIX,0.1556%,VTV
5523,Ameren Corp,AEE,0.1556%,VTV
5524,Entergy Corp,ETR,0.1553%,VTV
5525,Marathon Petroleum Corp,MPC,0.1545%,VTV
5526,Equity Residential,EQR,0.1538%,VTV
5527,KKR & Co Inc,KKR,0.1465%,VTV
5528,Ameriprise Financial Inc,AMP,0.1451%,VTV
5529,Las Vegas Sands Corp,LVS,0.1443%,VTV
5530,Laboratory Corporation of America Holdings,LH,0.144%,VTV
5531,Valero Energy Corp,VLO,0.1425%,VTV
5532,Blackstone Group Inc,BX,0.1424%,VTV
5533,CMS Energy Corp,CMS,0.1416%,VTV
5534,LyondellBasell Industries NV,LYB,0.1411%,VTV
5535,Tyson Foods Inc,TSN,0.1388%,VTV
5536,Hologic Inc,HOLX,0.1378%,VTV
5537,Discover Financial Services,DFS,0.1375%,VTV
5538,CDW Corp,CDW,0.1368%,VTV
5539,Conagra Brands Inc,CAG,0.1329%,VTV
5540,Kellogg Co,K,0.1323%,VTV
5541,Dell Technologies Inc,DELL,0.132%,VTV
5542,Ventas Inc,VTR,0.1282%,VTV
5543,International Paper Co,IP,0.1275%,VTV
5544,Dover Corp,DOV,0.1254%,VTV
5545,ViacomCBS Inc,VIAC,0.1252%,VTV
5546,FirstEnergy Corp,FE,0.1248%,VTV
5547,Quest Diagnostics Inc,DGX,0.1229%,VTV
5548,Northern Trust Corp,NTRS,0.1226%,VTV
5549,W W Grainger Inc,GWW,0.1223%,VTV
5550,Carmax Inc,KMX,0.1222%,VTV
5551,Qorvo Inc,QRVO,0.1212%,VTV
5552,Fifth Third Bancorp,FITB,0.1199%,VTV
5553,Healthpeak Properties Inc,PEAK,0.117%,VTV
5554,Synchrony Financial,SYF,0.1144%,VTV
